fpcollection.category[key],category.display
body-functions,Body functions
mental-functions,Mental functions
sensory-functions-and-pain,Sensory functions and pain
voice-and-speech-functions,Voice and speech functions
cardio-heama-immuno-resp-functions,"Functions of the cardiovascular, haematological, immunological and respiratory systems"
digestive-metabolic-endocrine-systems,"Functions of the digestive, metabolic, endocrine systems"
genitourinary-and-reproductive-functions,Genitourinary and reproductive functions
neuromusculoskeletal-movement-functions,Neuromusculoskeletal and movement-related functions
skin-and-related-structure-functions,Functions of the skin and related structures
activities-and-participation,Activities and Participation
learning-and-applying-knowledge,Learning and applying knowledge
general-tasks-and-demands,General tasks and demands
communication,Communication
mobility,Mobility
self-care,Self-care
domestic-life,Domestic life
interpersonal-interactions-and-relationships,Interpersonal interactions and relationships
major-life-areas,Major life areas
community-social-and-civic-life,"Community, social and civic life"
