fpobservation.code[key],code.code,code.system,code.display
4 steps - functional ability during 3 day assessment period [CMS Assessment],83194-1,http://loinc.org,4 steps - functional ability during 3 day assessment period [CMS Assessment]
Sit to stand - functional ability during 3 day assessment period [CMS Assessment],83212-1,http://loinc.org,Sit to stand - functional ability during 3 day assessment period [CMS Assessment]
Picking up object - functional ability during 3 day assessment period [CMS Assessment],83190-9,http://loinc.org,Picking up object - functional ability during 3 day assessment period [CMS Assessment]
12 steps - functional ability during 3 day assessment period [CMS Assessment],83192-5,http://loinc.org,12 steps - functional ability during 3 day assessment period [CMS Assessment]
Putting on/taking off footwear - functional ability during 3 day assessment period [CMS Assessment],83220-4,http://loinc.org,Putting on/taking off footwear - functional ability during 3 day assessment period [CMS Assessment]
Wheel 50 feet with two turns - functional ability during 3 day assessment period [CMS Assessment],83188-3,http://loinc.org,Wheel 50 feet with two turns - functional ability during 3 day assessment period [CMS Assessment]
Toileting hygiene - functional ability during 3 day assessment period [CMS Assessment],83228-7,http://loinc.org,Toileting hygiene - functional ability during 3 day assessment period [CMS Assessment]
Toilet transfer - functional ability during 3 day assessment period [CMS Assessment],83208-9,http://loinc.org,Toilet transfer - functional ability during 3 day assessment period [CMS Assessment]
Lying to sitting on side of bed - functional ability during 3 day assessment period [CMS Assessment],83214-7,http://loinc.org,Lying to sitting on side of bed - functional ability during 3 day assessment period [CMS Assessment]
Bed-to-chair transfer - functional ability during 3 day assessment period [CMS Assessment],83210-5,http://loinc.org,Bed-to-chair transfer - functional ability during 3 day assessment period [CMS Assessment]
Walk 50 feet with two turns - functional ability during 3 day assessment period [CMS Assessment],83202-2,http://loinc.org,Walk 50 feet with two turns - functional ability during 3 day assessment period [CMS Assessment]
Walk 10 feet - functional ability during 3 day assessment period [CMS Assessment],83204-8,http://loinc.org,Walk 10 feet - functional ability during 3 day assessment period [CMS Assessment]
Walk 150 feet - functional ability during 3 day assessment period [CMS Assessment],83200-6,http://loinc.org,Walk 150 feet - functional ability during 3 day assessment period [CMS Assessment]
Roll left and right - functional ability during 3 day assessment period [CMS Assessment],83218-8,http://loinc.org,Roll left and right - functional ability during 3 day assessment period [CMS Assessment]
Walking 10 feet on uneven surfaces - functional ability during 3 day assessment period [CMS Assessment],83198-2,http://loinc.org,Walking 10 feet on uneven surfaces - functional ability during 3 day assessment period [CMS Assessment]
Eating - functional ability during 3 day assessment period [CMS Assessment],83232-9,http://loinc.org,Eating - functional ability during 3 day assessment period [CMS Assessment]
Car transfer - functional ability during 3 day assessment period [CMS Assessment],83206-3,http://loinc.org,Car transfer - functional ability during 3 day assessment period [CMS Assessment]
Shower/bathe self - functional ability during 3 day assessment period [CMS Assessment],83226-1,http://loinc.org,Shower/bathe self - functional ability during 3 day assessment period [CMS Assessment]
Lower body dressing - functional ability during 3 day assessment period [CMS Assessment],83222-0,http://loinc.org,Lower body dressing - functional ability during 3 day assessment period [CMS Assessment]
1 step (curb) - functional ability during 3 day assessment period [CMS Assessment],83196-6,http://loinc.org,1 step (curb) - functional ability during 3 day assessment period [CMS Assessment]
Wheel 150 feet - functional ability during 3 day assessment period [CMS Assessment],83235-2,http://loinc.org,Wheel 150 feet - functional ability during 3 day assessment period [CMS Assessment]
Sit to lying - functional ability during 3 day assessment period [CMS Assessment],83216-2,http://loinc.org,Sit to lying - functional ability during 3 day assessment period [CMS Assessment]
Upper body dressing - functional ability during 3 day assessment period [CMS Assessment],83224-6,http://loinc.org,Upper body dressing - functional ability during 3 day assessment period [CMS Assessment]
Oral hygiene - functional ability during 3 day assessment period [CMS Assessment],83230-3,http://loinc.org,Oral hygiene - functional ability during 3 day assessment period [CMS Assessment]
